Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\24-104\24-104_DIA_7.d	H:\24-104\24-104_DIA_8.d	H:\24-104\24-104_DIA_9.d	H:\24-104\24-104_DIA_10.d	H:\24-104\24-104_DIA_11.d	H:\24-104\24-104_DIA_12.d
orf19.1459	orf19.1459	PPE1	PPE1		32687.6	36412.8	40036.8	74941.8	79624.4	70753.5
orf19.1460	orf19.1460	orf19.1460	orf19.1460		167871	184890	112005	170228	134550	156670
orf19.1461	orf19.1461	orf19.1461	orf19.1461		8971.51	10612.6		16898.9	25830.9	25590.5
orf19.1462	orf19.1462	SMP2	SMP2		48677.7	51476.4	52096.5	103894	81866	103485
orf19.1465	orf19.1465	orf19.1465	orf19.1465		2215.25			5237.52	5766.01	5425.57
orf19.1466	orf19.1466	REX2	REX2		85135.9	94221.8	96197.5	93999.1	70654.2	80643.5
orf19.1467	orf19.1467	COX13	COX13		502113	668116	298231	204198	184637	278226
orf19.1468	orf19.1468	CDC55	CDC55		48840.1	57191	51890.9	75338.4	54744.9	74591.9
orf19.147	orf19.147	YAK1	YAK1		22682	19812.5	24301.2	34137	39869.1	44924.1
orf19.1470	orf19.1470	RPS26A	RPS26A		43429.4	36289.5	35587.5	22685.3	38998	29081.5
orf19.1471	orf19.1471	COX4	COX4		1.04391e+06	837414	610819	768187	805710	864403
orf19.1474	orf19.1474	SLA1	SLA1		59999.6	61593.3	62528.4	68631.6	58436.1	65118
orf19.1477	orf19.1477	orf19.1477	orf19.1477		4259.86	2408.92	2220.08	2551.21	4281.82	4837.31
orf19.1478	orf19.1478	STT3	STT3		56602	46226.4	48924.2	31781.7	44845.9	53929.4
orf19.1479	orf19.1479	orf19.1479	orf19.1479		7425.88	7374.78	8400.27	14217	11083.6	10537
orf19.1480	orf19.1480	orf19.1480	orf19.1480		97444.2	78298.1	63291.8	25112	50709.4	60351.7
orf19.1481	orf19.1481	HAP42	HAP42		8099.55	8447.3	9046.17	10186.9	11175.9	9611.8
orf19.1483	orf19.1483	orf19.1483	orf19.1483		42028.9	36816.9	56701.5	32639.5	28465.5	23785
orf19.1484	orf19.1484	orf19.1484	orf19.1484		14927.6	15186.6	16255.3	29144.3	22507.3	23446.9
orf19.1485	orf19.1485	orf19.1485	orf19.1485		16540.1	15949.2	16457.8	6453.82	8620.63	8702.34
orf19.1490	orf19.1490	MSB2	MSB2		5434.97	6992.09	5210.63	5136.52	5095.14	5481.46
orf19.1491	orf19.1491	orf19.1491	orf19.1491		20370.6	21166.2	22311	37773.1	28686.2	37252.4
